model,domain,image,spatial_variance,channel_entropy
MNAT-Hardened,MOT17,data/MOT17/train/MOT17-04-FRCNN/img1\000109.jpg,0.0014517918461933732,6.736116409301758
MNAT-Hardened,MOT17,data/MOT17/train/MOT17-04-FRCNN/img1\000992.jpg,0.0013849734095856547,6.762096405029297
MNAT-Hardened,MOT17,data/MOT17/train/MOT17-09-FRCNN/img1\000310.jpg,0.0010736117837950587,6.615005970001221
MNAT-Hardened,MOT17,data/MOT17/train/MOT17-02-FRCNN/img1\000200.jpg,0.001299843192100525,6.684843063354492
MNAT-Hardened,MOT17,data/MOT17/train/MOT17-09-FRCNN/img1\000229.jpg,0.0012663238449022174,6.739779949188232
MNAT-Hardened,MOT17,data/MOT17/train/MOT17-04-FRCNN/img1\000950.jpg,0.001458680839277804,6.76278018951416
MNAT-Hardened,MOT17,data/MOT17/train/MOT17-04-FRCNN/img1\000257.jpg,0.0014894547639414668,6.766350269317627
MNAT-Hardened,MOT17,data/MOT17/train/MOT17-09-FRCNN/img1\000013.jpg,0.001173787983134389,6.639219284057617
MNAT-Hardened,MOT17,data/MOT17/train/MOT17-04-FRCNN/img1\000548.jpg,0.0015386036830022931,6.73811149597168
MNAT-Hardened,MOT17,data/MOT17/train/MOT17-09-FRCNN/img1\000019.jpg,0.0011709772516041994,6.657349586486816
MNAT-Hardened,MOT17,data/MOT17/train/MOT17-04-FRCNN/img1\000422.jpg,0.0015254036989063025,6.743590354919434
MNAT-Hardened,MOT17,data/MOT17/train/MOT17-04-FRCNN/img1\000971.jpg,0.0014459483791142702,6.760682106018066
MNAT-Hardened,MOT17,data/MOT17/train/MOT17-02-FRCNN/img1\000019.jpg,0.0012498692376539111,6.67650032043457
MNAT-Hardened,MOT17,data/MOT17/train/MOT17-02-FRCNN/img1\000402.jpg,0.0013772688107565045,6.771405220031738
MNAT-Hardened,MOT17,data/MOT17/train/MOT17-02-FRCNN/img1\000028.jpg,0.001308393431827426,6.677781105041504
MNAT-Hardened,MOT17,data/MOT17/train/MOT17-04-FRCNN/img1\000572.jpg,0.0015483717434108257,6.72441291809082
MNAT-Hardened,MOT17,data/MOT17/train/MOT17-02-FRCNN/img1\000275.jpg,0.001287201070226729,6.747392654418945
MNAT-Hardened,MOT17,data/MOT17/train/MOT17-02-FRCNN/img1\000137.jpg,0.001214801799505949,6.640850067138672
MNAT-Hardened,MOT17,data/MOT17/train/MOT17-04-FRCNN/img1\001020.jpg,0.0013862124178558588,6.761371612548828
MNAT-Hardened,MOT17,data/MOT17/train/MOT17-04-FRCNN/img1\000312.jpg,0.0015642715152353048,6.764376640319824
MNAT-Hardened,MOT17,data/MOT17/train/MOT17-04-FRCNN/img1\000810.jpg,0.0014821910299360752,6.71529483795166
MNAT-Hardened,MOT17,data/MOT17/train/MOT17-02-FRCNN/img1\000177.jpg,0.0012442738516256213,6.681925296783447
MNAT-Hardened,MOT17,data/MOT17/train/MOT17-09-FRCNN/img1\000027.jpg,0.0012399217812344432,6.674714088439941
MNAT-Hardened,MOT17,data/MOT17/train/MOT17-09-FRCNN/img1\000006.jpg,0.0011474323691800237,6.621607780456543
MNAT-Hardened,MOT17,data/MOT17/train/MOT17-09-FRCNN/img1\000405.jpg,0.001105383038520813,6.644073486328125
MNAT-Hardened,MOT17,data/MOT17/train/MOT17-04-FRCNN/img1\000665.jpg,0.0015160911716520786,6.7090840339660645
MNAT-Hardened,MOT17,data/MOT17/train/MOT17-02-FRCNN/img1\000428.jpg,0.0016095067840069532,6.787675857543945
MNAT-Hardened,MOT17,data/MOT17/train/MOT17-04-FRCNN/img1\000394.jpg,0.0014684152556583285,6.749488353729248
MNAT-Hardened,MOT17,data/MOT17/train/MOT17-09-FRCNN/img1\000061.jpg,0.0011710766702890396,6.6912665367126465
MNAT-Hardened,MOT17,data/MOT17/train/MOT17-02-FRCNN/img1\000487.jpg,0.001771457027643919,6.812129020690918
MNAT-Hardened,MOT17,data/MOT17/train/MOT17-04-FRCNN/img1\000723.jpg,0.0014574802480638027,6.720773696899414
MNAT-Hardened,MOT17,data/MOT17/train/MOT17-04-FRCNN/img1\000667.jpg,0.0015249886782839894,6.712710380554199
MNAT-Hardened,MOT17,data/MOT17/train/MOT17-09-FRCNN/img1\000369.jpg,0.0012306254357099533,6.672200679779053
MNAT-Hardened,MOT17,data/MOT17/train/MOT17-04-FRCNN/img1\000464.jpg,0.00143291219137609,6.75379753112793
MNAT-Hardened,MOT17,data/MOT17/train/MOT17-04-FRCNN/img1\000584.jpg,0.001509072375483811,6.715145587921143
MNAT-Hardened,IDD,data/IDD_Detection\JPEGImages\highquality_16k/15-07-18-upload/0024989.jpg,0.001566793886013329,6.879308700561523
MNAT-Hardened,IDD,data/IDD_Detection\JPEGImages\highquality_16k/HYD-2018-08-24_13-32-50/0005890.jpg,0.0021455474197864532,6.893798351287842
MNAT-Hardened,IDD,data/IDD_Detection\JPEGImages\frontFar/BLR-2018-04-19_17-16-55_frontFar/0003240.jpg,0.0010470023844391108,6.137894630432129
MNAT-Hardened,IDD,data/IDD_Detection\JPEGImages\highquality_16k/HYD-2018-08-24_13-02-50/0004171.jpg,0.0014722537016496062,6.828043460845947
MNAT-Hardened,IDD,data/IDD_Detection\JPEGImages\sideRight/BLR-2018-06-05_09-06-38_sideRight/001536_r.jpg,0.0016310439677909017,6.762798309326172
MNAT-Hardened,IDD,data/IDD_Detection\JPEGImages\frontNear/BLR-2018-05-22_13-21-45_frontNear/000168_r.jpg,0.0018120728200301528,6.8490753173828125
MNAT-Hardened,IDD,data/IDD_Detection\JPEGImages\frontNear/BLR-2018-05-17_15-12-45_frontNear/000414_r.jpg,0.0018636990571394563,6.891277313232422
MNAT-Hardened,IDD,data/IDD_Detection\JPEGImages\highquality_16k/HYD-2018-08-24_13-02-50/0000037.jpg,0.001970357960090041,6.775641441345215
MNAT-Hardened,IDD,data/IDD_Detection\JPEGImages\frontNear/BLR-2018-05-14_11-29-33_frontNear/000642_r.jpg,0.0013256004313006997,6.818752765655518
MNAT-Hardened,IDD,data/IDD_Detection\JPEGImages\highquality_16k/BLR-2018-05-03_14-26-52_sideRight_right/0001473.jpg,0.002263614209368825,6.871209144592285
MNAT-Hardened,IDD,data/IDD_Detection\JPEGImages\frontNear/BLR-2018-04-19_18-06-55_frontNear/000786_r.jpg,0.0016717974795028567,6.720303535461426
MNAT-Hardened,IDD,data/IDD_Detection\JPEGImages\highquality_16k/HYD-2018-08-24_13-22-50/0004204.jpg,0.001775346347130835,6.621272563934326
MNAT-Hardened,IDD,data/IDD_Detection\JPEGImages\highquality_16k/BLR-2018-06-19-06-21-44_part_15/0001770.jpg,0.0020869870204478502,6.907299041748047
MNAT-Hardened,IDD,data/IDD_Detection\JPEGImages\highquality_16k/BLR-2018-06-29-10-07-38_part_14/0000510.jpg,0.0013147273566573858,6.8105597496032715
MNAT-Hardened,IDD,data/IDD_Detection\JPEGImages\frontNear/BLR-2018-04-19_18-06-55_frontNear/0005100.jpg,0.0016776866978034377,6.780910968780518
MNAT-Hardened,IDD,data/IDD_Detection\JPEGImages\highquality_16k/BLR-2018-05-11_13-53-01_sideRight_left/0004293.jpg,0.0017512771300971508,6.889392852783203
MNAT-Hardened,IDD,data/IDD_Detection\JPEGImages\sideRight/BLR-2018-05-14_11-48-09_sideRight/000492_r.jpg,0.0022866122890263796,6.9633989334106445
MNAT-Hardened,IDD,data/IDD_Detection\JPEGImages\sideLeft/BLR-2018-05-09_12-50-30_sideLeft/0000240.jpg,0.0013478961773216724,6.853756904602051
MNAT-Hardened,IDD,data/IDD_Detection\JPEGImages\frontNear/BLR-2018-05-22_13-21-45_frontNear/0000465.jpg,0.001776302931830287,6.8416748046875
MNAT-Hardened,IDD,data/IDD_Detection\JPEGImages\frontNear/BLR-2018-04-19_17-16-55_frontNear/000486_r.jpg,0.0021475485991686583,6.766775131225586
MNAT-Hardened,IDD,data/IDD_Detection\JPEGImages\highquality_16k/HYD-2018-08-24_13-22-50/0006370.jpg,0.0011642595054581761,6.681173324584961
MNAT-Hardened,IDD,data/IDD_Detection\JPEGImages\highquality_16k/15-07-18-upload/0017489.jpg,0.0022231026086956263,6.891962051391602
MNAT-Hardened,IDD,data/IDD_Detection\JPEGImages\frontNear/BLR-2018-04-19_17-16-55_frontNear/000306_r.jpg,0.0015863041626289487,6.608994483947754
MNAT-Hardened,IDD,data/IDD_Detection\JPEGImages\highquality_16k/15-07-18-upload/0010178.jpg,0.0018174652941524982,6.856931209564209
MNAT-Hardened,IDD,data/IDD_Detection\JPEGImages\rearNear/BLR-2018-06-05_08-50-18_rearNear/0008250.jpg,0.002256894949823618,6.91387939453125
MNAT-Hardened,IDD,data/IDD_Detection\JPEGImages\sideRight/BLR-2018-05-14_13-38-46_sideRight/000258_r.jpg,0.0016138163628056645,6.92368745803833
MNAT-Hardened,IDD,data/IDD_Detection\JPEGImages\highquality_16k/BLR-2018-06-29-10-07-38_part_48/0001590.jpg,0.001576500479131937,6.847241401672363
MNAT-Hardened,IDD,data/IDD_Detection\JPEGImages\sideLeft/BLR-2018-05-14_13-38-46_sideLeft/000444_r.jpg,0.00190877600107342,6.908416748046875
MNAT-Hardened,IDD,data/IDD_Detection\JPEGImages\highquality_16k/HYD-2018-08-24_13-22-50/0006636.jpg,0.0017103059217333794,6.757922172546387
MNAT-Hardened,IDD,data/IDD_Detection\JPEGImages\frontFar/BLR-2018-04-19_17-16-55_frontFar/001548_r.jpg,0.001849465537816286,6.412916660308838
MNAT-Hardened,IDD,data/IDD_Detection\JPEGImages\highquality_16k/15-07-18-upload/0017838.jpg,0.001519835670478642,6.834134578704834
MNAT-Hardened,IDD,data/IDD_Detection\JPEGImages\sideLeft/BLR-2018-05-22_12-24-44_sideLeft/0004290.jpg,0.0016881924821063876,6.777639389038086
MNAT-Hardened,IDD,data/IDD_Detection\JPEGImages\highquality_16k/BLR-2018-05-11_13-42-30_sideRight_left/0002580.jpg,0.0012586989905685186,6.843000411987305
MNAT-Hardened,IDD,data/IDD_Detection\JPEGImages\frontFar/BLR-2018-04-19_17-06-55_frontFar/000858_r.jpg,0.001502789556980133,6.1554107666015625
MNAT-Hardened,IDD,data/IDD_Detection\JPEGImages\highquality_16k/BLR-2018-06-19-06-21-44_part_58/0001281.jpg,0.0015365772414952517,6.776686668395996
MNAT-Hardened,IDD,data/IDD_Detection\JPEGImages\highquality_16k/15-07-18-upload/2018-05-03_14-35-35-446650_leftImg8bit.jpg,0.0014272036496549845,6.702632904052734
MNAT-Hardened,IDD,data/IDD_Detection\JPEGImages\sideLeft/BLR-2018-05-29_11-19-12_sideLeft/000276_r.jpg,0.0015976320719346404,6.773445129394531
MNAT-Hardened,IDD,data/IDD_Detection\JPEGImages\sideRight/BLR-2018-04-26_13-40-01_sideRight/0000060.jpg,0.0015301203820854425,6.833417892456055
MNAT-Hardened,IDD,data/IDD_Detection\JPEGImages\frontNear/BLR-2018-06-05_08-39-44_frontNear/000064_r.jpg,0.001675120205618441,6.812554359436035
MNAT-Hardened,IDD,data/IDD_Detection\JPEGImages\sideRight/BLR-2018-05-17_15-23-02_sideRight/0000180.jpg,0.0016492679715156555,6.927308559417725
